algo,ep,mins,clusters,avg_cl_size,lrgst_cl_size,noise_size,silhouette,davies_bouldin
auto,1,1,940,3.2361702127659573,1248,0,-0.31670962753102305,0.8180775868275302
ball_tree,1,1,940,3.2361702127659573,1248,0,-0.31670962753102305,0.8180775868275302
kd_tree,1,1,940,3.2361702127659573,1248,0,-0.31670962753102305,0.8180775868275302
brute,1,1,940,3.2361702127659573,1248,0,-0.31670962753102305,0.8180775868275302
auto,1,5,21,85.38095238095238,939,0,-0.27944219148341687,2.081966430538398
ball_tree,1,5,21,85.38095238095238,939,0,-0.27944219148341687,2.081966430538398
kd_tree,1,5,21,85.38095238095238,939,0,-0.27944219148341687,2.081966430538398
brute,1,5,21,85.38095238095238,939,0,-0.27944219148341687,2.081966430538398
auto,1,10,9,151.11111111111111,378,0,-0.1291488814727882,2.4512222753503825
ball_tree,1,10,9,151.11111111111111,378,0,-0.1291488814727882,2.4512222753503825
kd_tree,1,10,9,151.11111111111111,378,0,-0.1291488814727882,2.4512222753503825
brute,1,10,9,151.11111111111111,378,0,-0.1291488814727882,2.4512222753503825
auto,1,20,6,162.5,344,0,-0.10716003079789205,2.574598383603938
ball_tree,1,20,6,162.5,344,0,-0.10716003079789205,2.574598383603938
kd_tree,1,20,6,162.5,344,0,-0.10716003079789205,2.574598383603938
brute,1,20,6,162.5,344,0,-0.10716003079789205,2.574598383603938
auto,1,50,3,196.33333333333334,250,0,-0.1467079388626953,3.26240126613801
ball_tree,1,50,3,196.33333333333334,250,0,-0.1467079388626953,3.26240126613801
kd_tree,1,50,3,196.33333333333334,250,0,-0.1467079388626953,3.26240126613801
brute,1,50,3,196.33333333333334,250,0,-0.1467079388626953,3.26240126613801
auto,2,1,113,26.920353982300885,2921,0,-0.12956693508138828,0.382604876343045
ball_tree,2,1,113,26.920353982300885,2921,0,-0.12956693508138828,0.382604876343045
kd_tree,2,1,113,26.920353982300885,2921,0,-0.12956693508138828,0.382604876343045
brute,2,1,113,26.920353982300885,2921,0,-0.12956693508138828,0.382604876343045
auto,2,5,1,2904.0,2904,0,,
ball_tree,2,5,1,2904.0,2904,0,,
kd_tree,2,5,1,2904.0,2904,0,,
brute,2,5,1,2904.0,2904,0,,
auto,2,10,1,2856.0,2856,0,,
ball_tree,2,10,1,2856.0,2856,0,,
kd_tree,2,10,1,2856.0,2856,0,,
brute,2,10,1,2856.0,2856,0,,
auto,2,20,1,2801.0,2801,0,,
ball_tree,2,20,1,2801.0,2801,0,,
kd_tree,2,20,1,2801.0,2801,0,,
brute,2,20,1,2801.0,2801,0,,
auto,2,50,1,2687.0,2687,0,,
ball_tree,2,50,1,2687.0,2687,0,,
kd_tree,2,50,1,2687.0,2687,0,,
brute,2,50,1,2687.0,2687,0,,
auto,3,1,50,60.84,2983,0,0.25428402440853454,0.3199817974427188
ball_tree,3,1,50,60.84,2983,0,0.25428402440853454,0.3199817974427188
kd_tree,3,1,50,60.84,2983,0,0.25428402440853454,0.3199817974427188
brute,3,1,50,60.84,2983,0,0.25428402440853454,0.3199817974427188
auto,3,5,1,2973.0,2973,0,,
ball_tree,3,5,1,2973.0,2973,0,,
kd_tree,3,5,1,2973.0,2973,0,,
brute,3,5,1,2973.0,2973,0,,
auto,3,10,1,2962.0,2962,0,,
ball_tree,3,10,1,2962.0,2962,0,,
