algo,ep,mins,clusters,avg_cl_size,lrgst_cl_size,noise_size,silhouette,davies_bouldin
auto,1,1,2413,1.2610857853294655,216,0,-0.033889688378374166,0.4138211097251883
ball_tree,1,1,2413,1.2610857853294655,216,0,-0.033889688378374166,0.4138211097251883
kd_tree,1,1,2413,1.2610857853294655,216,0,-0.033889688378374166,0.4138211097251883
brute,1,1,2413,1.2610857853294655,216,0,-0.033889688378374166,0.4138211097251883
auto,1,5,11,43.72727272727273,200,0,-0.2779633113087706,1.6592069842474142
ball_tree,1,5,11,43.72727272727273,200,0,-0.2779633113087706,1.6592069842474142
kd_tree,1,5,11,43.72727272727273,200,0,-0.2779633113087706,1.6592069842474142
brute,1,5,11,43.72727272727273,200,0,-0.2779633113087706,1.6592069842474142
auto,1,10,3,105.33333333333333,148,0,-0.21252238818810623,2.3830069853844247
ball_tree,1,10,3,105.33333333333333,148,0,-0.21252238818810623,2.3830069853844247
kd_tree,1,10,3,105.33333333333333,148,0,-0.21252238818810623,2.3830069853844247
brute,1,10,3,105.33333333333333,148,0,-0.21252238818810623,2.3830069853844247
auto,1,20,2,83.0,107,0,-0.23493762969725657,2.514495317103698
ball_tree,1,20,2,83.0,107,0,-0.23493762969725657,2.514495317103698
kd_tree,1,20,2,83.0,107,0,-0.23493762969725657,2.514495317103698
brute,1,20,2,83.0,107,0,-0.23493762969725657,2.514495317103698
auto,1,50,0,0.0,0,0,,
ball_tree,1,50,0,0.0,0,0,,
kd_tree,1,50,0,0.0,0,0,,
brute,1,50,0,0.0,0,0,,
auto,2,1,549,5.542805100182149,2457,0,-0.3483625928012305,0.6378920331493806
ball_tree,2,1,549,5.542805100182149,2457,0,-0.3483625928012305,0.6378920331493806
kd_tree,2,1,549,5.542805100182149,2457,0,-0.3483625928012305,0.6378920331493806
brute,2,1,549,5.542805100182149,2457,0,-0.3483625928012305,0.6378920331493806
auto,2,5,3,802.6666666666666,2399,0,-0.1263662610223481,3.0873965560459347
ball_tree,2,5,3,802.6666666666666,2399,0,-0.1263662610223481,3.0873965560459347
kd_tree,2,5,3,802.6666666666666,2399,0,-0.1263662610223481,3.0873965560459347
brute,2,5,3,802.6666666666666,2399,0,-0.1263662610223481,3.0873965560459347
