,algo,ep,mins,clusters,avg_cl_size,lrgst_cl_size,noise_size,silhouette
0,auto,1,1,3041,1.0006576783952648,2,0,0.0005351872267324607
1,ball_tree,1,1,3041,1.0006576783952648,2,0,0.0005351872267324607
2,kd_tree,1,1,3041,1.0006576783952648,2,0,0.0005351872267324607
3,brute,1,1,3041,1.0006576783952648,2,0,0.0005351872267324607
4,auto,1,5,1,3043.0,3043,3043,
5,ball_tree,1,5,1,3043.0,3043,3043,
6,kd_tree,1,5,1,3043.0,3043,3043,
7,brute,1,5,1,3043.0,3043,3043,
8,auto,1,10,1,3043.0,3043,3043,
9,ball_tree,1,10,1,3043.0,3043,3043,
10,kd_tree,1,10,1,3043.0,3043,3043,
11,brute,1,10,1,3043.0,3043,3043,
12,auto,1,20,1,3043.0,3043,3043,
13,ball_tree,1,20,1,3043.0,3043,3043,
14,kd_tree,1,20,1,3043.0,3043,3043,
15,brute,1,20,1,3043.0,3043,3043,
16,auto,1,50,1,3043.0,3043,3043,
17,ball_tree,1,50,1,3043.0,3043,3043,
18,kd_tree,1,50,1,3043.0,3043,3043,
19,brute,1,50,1,3043.0,3043,3043,
20,auto,2,1,2715,1.1208103130755065,98,0,0.00490876831144835
21,ball_tree,2,1,2715,1.1208103130755065,98,0,0.00490876831144835
22,kd_tree,2,1,2715,1.1208103130755065,98,0,0.00490876831144835
23,brute,2,1,2715,1.1208103130755065,98,0,0.00490876831144835
24,auto,2,5,10,13.444444444444445,65,2922,-0.30017607827317044
25,ball_tree,2,5,10,13.444444444444445,65,2922,-0.30017607827317044
26,kd_tree,2,5,10,13.444444444444445,65,2922,-0.30017607827317044
27,brute,2,5,10,13.444444444444445,65,2922,-0.30017607827317044
28,auto,2,10,2,43.0,43,3000,-0.08503576385284667
29,ball_tree,2,10,2,43.0,43,3000,-0.08503576385284667
30,kd_tree,2,10,2,43.0,43,3000,-0.08503576385284667
31,brute,2,10,2,43.0,43,3000,-0.08503576385284667
32,auto,2,20,1,3043.0,3043,3043,
33,ball_tree,2,20,1,3043.0,3043,3043,
34,kd_tree,2,20,1,3043.0,3043,3043,
35,brute,2,20,1,3043.0,3043,3043,
36,auto,2,50,1,3043.0,3043,3043,
